trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_2,14,45833896,timesfm,515,0.001831785880924568,0.04279936776314071,0.022663214075937414,77.43195988259403,100.79368474746036
20001_0310_2,15,45833480,naive,515,0.0005287884423014946,0.02299540045968964,0.015814226430171684,58.21652570613919,170.61754410374718
20001_0310_2,15,45833480,timesfm,515,0.0005649059539500128,0.023767750292150346,0.0095048927077125,96.15839943911408,102.54699829423883
20001_0310_2,16,88229435,naive,516,0.006122025380679799,0.07824337275884648,0.0581373822597368,100.52262169908246,65.92405120968009
20001_0310_2,16,88229435,timesfm,516,0.007180101844062304,0.08473548161226384,0.05702905787710938,76.17314247794513,64.66728266391313
20001_0310_2,17,59156287,naive,518,0.0008654046332300111,0.029417760506707698,0.021569383194001254,68.24264233127313,122.7460549595625
20001_0310_2,17,59156287,timesfm,518,0.0009559429793781663,0.03091832756437784,0.01762764116602637,79.25238348695159,100.31457051466732
20001_0310_2,18,44784093,naive,518,0.000717451342603675,0.0267852822013074,0.019231693548578267,51.44077877761188,164.65106090005045
20001_0310_2,18,44784093,timesfm,518,0.0006235057341395509,0.024970096798762133,0.012012142405622058,87.06846715678846,102.84128050253636
20001_0310_2,19,45834150,naive,516,0.009495563234877637,0.09744518066522138,0.06718422770012863,111.87478712021395,65.09105137657853
20001_0310_2,19,45834150,timesfm,516,0.010322778974452825,0.1016010776244663,0.06624074704151388,85.29526295895877,64.17696558404982
20001_0310_2,20,45834147,naive,517,0.002461400284531707,0.049612501292836536,0.034133950709518426,94.63261396823617,112.71540004301725
20001_0310_2,20,45834147,timesfm,517,0.002877785723760864,0.05364499719229058,0.028259800616154136,67.16525761481115,93.31807966481529
20001_0310_2,21,45834145,naive,516,0.007930238188783878,0.08905188481320246,0.06789875442754159,110.59797667350308,73.71675787052163
20001_0310_2,21,45834145,timesfm,516,0.00846323625990492,0.09199584914497458,0.06526346963423289,82.50808387923017,70.85566487012625
20001_0310_2,22,45834142,naive,519,0.006758954163585126,0.08221285887004007,0.06005675421744183,114.04604888952142,82.26376129363231
20001_0310_2,22,45834142,timesfm,519,0.006756119352090024,0.08219561638001156,0.054313440254807784,83.69831784862401,74.39675923844469
20001_0310_2,23,44784226,naive,517,0.0016075072542530203,0.040093730859736915,0.027012398826297034,63.94671850128124,86.64423610731923
20001_0310_2,23,44784226,timesfm,517,0.0017264163360495896,0.041550166498458094,0.02694082320377328,61.29018641922023,86.41465208639032
20001_0310_2,24,45833472,naive,516,0.002044148756632345,0.045212263343393296,0.034880315610604694,82.81665647311223,75.21099396028238
20001_0310_2,24,45833472,timesfm,516,0.002051595125872147,0.045294537483808656,0.032863183818462434,64.50938473938716,70.86153540808452
20001_0310_2,25,47565733,naive,516,0.0007252574628707076,0.026930604576776727,0.021225950173499396,53.784612585748995,106.63509468358762
20001_0310_2,25,47565733,timesfm,516,0.0007265589317007874,0.026954757125613047,0.018658023127189987,54.47118979444105,93.73432268113436
20001_0310_2,26,44784088,naive,517,0.001567862026162232,0.03959623752532849,0.030039976151908676,72.68939444924656,80.43166577046642
20001_0310_2,26,44784088,timesfm,517,0.0017618637545968382,0.041974560802905826,0.02973480697368169,57.71453218986142,79.61457905833062
20001_0310_2,27,44784097,naive,517,0.0009573738045476242,0.030941457699139262,0.022055335614895106,63.87033692014289,112.36256347801739
20001_0310_2,27,44784097,timesfm,517,0.0009946221222648893,0.031537630257596865,0.018740791584054554,62.05199969988351,95.47637001585653
20001_0310_2,28,45833802,naive,516,0.006998135229294391,0.08365485777463488,0.062142565918638724,90.51888159054407,55.61731229381923
20001_0310_2,28,45833802,timesfm,516,0.00855146316086984,0.09247412157392922,0.06468290695559609,77.48367352299917,57.89090590387783
20001_0310_2,29,45833324,naive,515,0.002074970330156666,0.04555184222571757,0.03319335688194893,78.50655974218489,79.02941583753555
20001_0310_2,29,45833324,timesfm,515,0.0022824743839589805,0.047775248654077986,0.03241948926351169,60.96642930317084,77.18692952203008
20001_0310_2,30,44784089,naive,511,0.006565989724926116,0.08103079491727892,0.06229348738774395,91.48311375317884,46.53367038441988
20001_0310_2,30,44784089,timesfm,511,0.007157058013011574,0.08459939723787382,0.062371769848456445,78.46176179487377,46.592147929608544
20001_0310_2,31,45833505,naive,510,0.0018468378064644747,0.04297485086029357,0.031602261045618966,81.92905744372347,78.49986209237649
