#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,5.250772
-100000.0,1,5.256053
-100000.0,1,5.26141
-100000.0,1,5.264485
-100000.0,1,5.267715
-100000.0,1,5.272478
-100000.0,1,5.27667
-100000.0,1,5.282661
-100000.0,1,5.28569
-100000.0,1,5.292829
-100000.0,1,5.297477
-100000.0,1,5.299682
-100000.0,1,5.303487
-100000.0,1,5.307644
-100000.0,1,5.311555
-100000.0,1,5.313644
-100000.0,1,5.31655
-100000.0,1,5.320902
-100000.0,1,5.325709
-100000.0,1,5.328923
-100000.0,1,5.332525
-100000.0,1,5.336896
-100000.0,1,5.341151
-100000.0,1,5.349151
-100000.0,1,5.35186
-100000.0,1,5.355271
-100000.0,1,5.364244
-100000.0,1,5.367681
-100000.0,1,5.371311
-100000.0,1,5.377416
-100000.0,1,5.384777
-100000.0,1,5.387241
-100000.0,1,5.389671
-100000.0,1,5.395026
-100000.0,1,5.399449
