algo,variant,group,seed,auc
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 24",0.6512175936047566
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 25",0.7278154398168715
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 3",0.7278154398168715
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 4",0.6567755490720671
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 5",0.7036141419153035
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 6",0.6512175936047566
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 7",0.6693103275490904
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 8",0.7426104387062946
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 9",0.6567755490720671
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 1",0.8777519766152253
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 10",0.8553271234125273
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 11",0.8777519766152253
HAPPO,RewardMaxMedian,HAPPO-RewardMaxMedian,"HAPPO-RewardMaxMedian (0.5,0.7,0.5,0.6) - 12",0.8777519766152253
